fecha_hecho,cantidad,latitud,longitud,sexo,edad,estado_civil,grupo_actor,actividad_delictiva,parentesco,ocupacion,discapacidad,grupo_especial,medio_transporte,nivel_academico,testigo,conducta,modalidad,caracterizacion,conducta_especial,arma_medio,articulo_penal,categoria_penal,nombre_barrio,codigo_barrio,codigo_comuna,lugar,sede_receptora,bien,categoria_bien,grupo_bien,modelo,color,permiso,unidad_medida
2007-12-13T17:40:00.000-05:00,1.0,6.283867,-75.586545,Mujer,48,Soltero(a),Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Taxi,Sin dato,Sin dato,Hurto a persona,Atraco,Sin dato,Fleteo,Arma de fuego,Sin dato,Sin dato,El Diamante,#0711,7,Vía pública,Castilla,Celular,Tecnología,Mercancía,-1,Sin dato,Sin dato,Sin dato
2007-12-13T17:40:00.000-05:00,1.0,6.283867,-75.586545,Mujer,48,Soltero(a),Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Taxi,Sin dato,Sin dato,Hurto a persona,Atraco,Sin dato,Fleteo,Arma de fuego,Sin dato,Sin dato,El Diamante,#0711,7,Vía pública,Castilla,Celular,Tecnología,Mercancía,-1,Sin dato,Sin dato,Sin dato
2007-12-13T17:40:00.000-05:00,1.0,6.283867,-75.586545,Mujer,48,Soltero(a),Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Taxi,Sin dato,Sin dato,Hurto a persona,Atraco,Sin dato,Fleteo,Arma de fuego,Sin dato,Sin dato,El Diamante,#0711,7,Vía pública,Castilla,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato
2007-12-13T17:40:00.000-05:00,1.0,6.283867,-75.586545,Mujer,48,Soltero(a),Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Taxi,Sin dato,Sin dato,Hurto a persona,Atraco,Sin dato,Fleteo,Arma de fuego,Sin dato,Sin dato,El Diamante,#0711,7,Vía pública,Castilla,Sin dato documentos,Documentos,Mercancía,-1,Sin dato,Sin dato,Sin dato
2007-12-14T10:30:00.000-05:00,1.0,NaN,NaN,Hombre,53,Unión marital de hecho,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Taxi,Sin dato,Sin dato,Hurto a persona,Atraco,Sin dato,Sin dato,Arma cortopunzante,Sin dato,Sin dato,El Rincón,#1610,16,Residencia,Belén,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato
2007-12-14T10:30:00.000-05:00,1.0,NaN,NaN,Hombre,53,Unión marital de hecho,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Taxi,Sin dato,Sin dato,Hurto a persona,Atraco,Sin dato,Sin dato,Arma cortopunzante,Sin dato,Sin dato,El Rincón,#1610,16,Residencia,Belén,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato
2007-12-30T01:50:00.000-05:00,1.0,NaN,NaN,Hombre,38,Soltero(a),Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Taxi,Sin dato,Sin dato,Hurto a persona,Atraco,Sin dato,A taxista,Arma cortopunzante,Sin dato,Sin dato,Altamira,#0708,7,Vía pública,Castilla,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato
2007-12-30T01:50:00.000-05:00,1.0,NaN,NaN,Hombre,38,Soltero(a),Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Taxi,Sin dato,Sin dato,Hurto a persona,Atraco,Sin dato,A taxista,Arma cortopunzante,Sin dato,Sin dato,Altamira,#0708,7,Vía pública,Castilla,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato
2017-12-01T03:30:00.000-05:00,1.0,6.20939494,-75.56741111,Mujer,23,Soltero(a),Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Taxi,Sin dato,Sin dato,Hurto a persona,Atraco,Sin dato,Sin dato,Arma de fuego,Sin dato,Sin dato,El Poblado,#1418,14,Vía pública,Poblado,Accesorios celular,Tecnología,Mercancía,-1,Sin dato,Sin dato,Sin dato
2017-12-01T08:30:00.000-05:00,1.0,6.20639704,-75.56867596,Mujer,32,Unión marital de hecho,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Autobus,Sin dato,Sin dato,Hurto a persona,Cosquilleo,Sin dato,Sin dato,No,Sin dato,Sin dato,La Florida,#1417,14,Vía pública,Poblado,Cédula,Documentos,Mercancía,-1,Sin dato,Sin dato,Sin dato
2017-12-01T14:27:00.000-05:00,1.0,6.19242776,-75.58194957,Mujer,28,Soltero(a),Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Metro,Sin dato,Sin dato,Hurto a persona,Cosquilleo,Sin dato,Sin dato,No,Sin dato,Sin dato,Santa María de los Ángeles,#1423,14,Estación del Metro,Poblado,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato
2017-12-01T14:27:00.000-05:00,1.0,6.19242776,-75.58194957,Mujer,28,Soltero(a),Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Metro,Sin dato,Sin dato,Hurto a persona,Cosquilleo,Sin dato,Sin dato,No,Sin dato,Sin dato,Santa María de los Ángeles,#1423,14,Estación del Metro,Poblado,Licencia,Documentos,Mercancía,-1,Sin dato,Sin dato,Sin dato
2017-12-01T08:30:00.000-05:00,1.0,6.20639704,-75.56867596,Mujer,32,Unión marital de hecho,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Autobus,Sin dato,Sin dato,Hurto a persona,Cosquilleo,Sin dato,Sin dato,No,Sin dato,Sin dato,La Florida,#1417,14,Vía pública,Poblado,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato
2017-12-01T08:30:00.000-05:00,1.0,6.20639704,-75.56867596,Mujer,32,Unión marital de hecho,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Autobus,Sin dato,Sin dato,Hurto a persona,Cosquilleo,Sin dato,Sin dato,No,Sin dato,Sin dato,La Florida,#1417,14,Vía pública,Poblado,Tarjeta bancaria,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato
2017-12-01T03:30:00.000-05:00,1.0,6.20939494,-75.56741111,Mujer,23,Soltero(a),Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Taxi,Sin dato,Sin dato,Hurto a persona,Atraco,Sin dato,Sin dato,Arma de fuego,Sin dato,Sin dato,El Poblado,#1418,14,Vía pública,Poblado,Celular,Tecnología,Mercancía,-1,Rosado,Sin dato,Sin dato
2017-12-01T08:30:00.000-05:00,1.0,6.20639704,-75.56867596,Mujer,32,Unión marital de hecho,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Autobus,Sin dato,Sin dato,Hurto a persona,Cosquilleo,Sin dato,Sin dato,No,Sin dato,Sin dato,La Florida,#1417,14,Vía pública,Poblado,Carne,Alimento,Mercancía,-1,Sin dato,Sin dato,Sin dato
2017-12-01T07:00:00.000-05:00,1.0,6.23910347,-75.57503203,Mujer,21,Soltero(a),Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Autobus,Sin dato,Sin dato,Hurto a persona,Cosquilleo,Sin dato,Sin dato,No,Sin dato,Sin dato,Perpetuo Socorro,#1012,10,Vía pública,Candelaria,Licencia,Documentos,Mercancía,-1,Sin dato,Sin dato,Sin dato
2017-12-01T07:00:00.000-05:00,1.0,6.23918475,-75.58746326,Hombre,31,Soltero(a),Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Autobus,Sin dato,Sin dato,Hurto a persona,Atraco,Sin dato,Sin dato,No,Sin dato,Sin dato,Fátima,#1601,16,Estación del Metro plus,Belén,Celular,Tecnología,Mercancía,-1,Gris,Sin dato,Sin dato
2017-12-01T03:30:00.000-05:00,1.0,6.20939494,-75.56741111,Mujer,23,Soltero(a),Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Taxi,Sin dato,Sin dato,Hurto a persona,Atraco,Sin dato,Sin dato,Arma de fuego,Sin dato,Sin dato,El Poblado,#1418,14,Vía pública,Poblado,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato
2017-12-01T14:27:00.000-05:00,1.0,6.19242776,-75.58194957,Mujer,28,Soltero(a),Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Metro,Sin dato,Sin dato,Hurto a persona,Cosquilleo,Sin dato,Sin dato,No,Sin dato,Sin dato,Santa María de los Ángeles,#1423,14,Estación del Metro,Poblado,Soat,Documentos,Mercancía,-1,Sin dato,Sin dato,Sin dato
2017-12-01T20:30:00.000-05:00,1.0,6.29208879,-75.57479096,Hombre,49,Soltero(a),Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Taxi,Sin dato,Sin dato,Hurto a persona,Atraco,Sin dato,No,Arma de fuego,Sin dato,Sin dato,La Esperanza,#0605,6,Vía pública,Castilla,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato
